,test_id,headline,impressions,impressions,clicks,CTR,ini_CTR
131,36,Her Mom Abandoned Her When She Found Out She Had A Girl. Said Girl May Now Run A Country.,2741.0,2741.0,59.0,0.021524990879241153,0.011517550877949496
167,47,"If You Enjoy The Ol' Night Sky, You Should Get Your Fill ASAP. It Genuinely Won't Be There For Long.",2347.0,2347.0,15.0,0.006391137622496805,0.003464717405038925
168,47,The Universe Just Lost 200 Billion Stars,2356.0,2356.0,46.0,0.019524617996604415,0.00504794922363826
205,58,"Now For Sale: Daughters, $10,000 Each (If They're Pretty)",2698.0,2698.0,92.0,0.0340993328391401,0.009372632682347245
206,58,Why Doesn't This Woman Want Her Daughter To Be Pretty?,2726.0,2726.0,94.0,0.034482758620689655,0.027815760171673982
207,58,This Woman's Beef With Prettiness Will Leave You Speechless,2674.0,2674.0,108.0,0.04038893044128646,0.036651225093251576
208,58,Why This Woman Thinks Pretty Isn't Enough,2814.0,2814.0,73.0,0.025941719971570718,0.020797453732176462
213,60,We Have Been Misled By An Erroneous Map Of The World For 500 Years,5300.0,5300.0,156.0,0.02943396226415094,0.02187268943263076
214,60,You Know That Map Of The World You First Saw As A Kid? That's Super Wrong.,5152.0,5152.0,129.0,0.025038819875776396,0.012993938529598873
215,60,Geography's Best Kept Secret: The World Map That You Know Is Completely False,5118.0,5118.0,134.0,0.02618210238374365,0.027590085791692955
216,60,How Many Continents Can Fit Inside Of Africa? Hint: It's More.,5033.0,5033.0,64.0,0.012716073912179614,0.020772975125830193
294,86,"Nothing To See Here, Just Some Giant Abstract Things The Secret Flying Cameras Like To Look At",2653.0,2653.0,66.0,0.024877497173011683,0.012448460447427217
295,86,"Forget Crop Circles, The U.S. Military Does Even Weirder Stuff In The Middle Of Nowhere",2802.0,2802.0,103.0,0.03675945753033547,0.017944835176393455
296,86,I'm TOTALLY Not Unsettled By These Huge Weird Things Painted In The Middle Of Nowhere. Not At All.,2752.0,2752.0,83.0,0.030159883720930234,0.01294589226642891
297,86,These Cool-Looking Things DEFINITELY Don't Call To Mind A Hellish War The U.S. Wages With Robots,2696.0,2696.0,45.0,0.01669139465875371,0.005162583103674728
356,104,I Would Not Want To Hear This Heartbreaking Sound Coming From My Mom,2623.0,2623.0,35.0,0.013343499809378575,0.01998897748498029
357,104,The Cops Almost Killed This Guy For Drinking At A Bar,2788.0,2788.0,39.0,0.013988522238163558,0.018430854016627293
394,114,This Brave Woman Has More Than Two Things To Get Off Her Chest,3190.0,3190.0,17.0,0.005329153605015674,0.015366581881253642
395,114,"Every Time A Politician Tries To Defund Planned Parenthood, I Think Of THIS",3225.0,3225.0,32.0,0.00992248062015504,0.012159943947049837
396,114,"Every Time A Politician Tries To Defund Planned Parenthood, I Think Of This Brave Woman",3143.0,3143.0,35.0,0.011135857461024499,0.012176044170705287
397,114,"Screw Pink Ribbons, This Breast Cancer Patient Knows The Real Way To Cure Breast Cancer",3216.0,3216.0,23.0,0.007151741293532339,0.01491757572006468
417,120,Are You Tired Of Schools Failing? So Are Your Teachers.,1046.0,1046.0,13.0,0.0124282982791587,0.0048504986263034995
418,120,You Can Blame Teachers. You Can Blame Parents. You Can Blame Students. OR You Could Fix Things.,1005.0,1005.0,8.0,0.007960199004975124,0.005517242341725492
419,120,POP QUIZ: Should We Blame The Parents Or The Teachers For Our Failing Schools?,1070.0,1070.0,13.0,0.012149532710280374,0.004512254450772575
420,120,Teachers Aren't The Problem. They Are The Solution. And So Are You.,1030.0,1030.0,13.0,0.01262135922330097,0.00562720341046115
424,122,This NBA Star Got Really Angry When 2 Lesbians Got Married. He Had A Good Reason Though.,2600.0,2600.0,112.0,0.043076923076923075,0.026879454792422645
425,122,NBA Star Gets Mad At 2 Lesbians. Heartwarming Moment Ensues.,2459.0,2459.0,78.0,0.03172021146807645,0.030083278685224993
426,122,You Will Not Believe What This NBA Star Had To Say About Lesbians,2524.0,2524.0,78.0,0.030903328050713153,0.02410161512725799
427,122,There's Nothing Quite As Heartwarming As Watching 2 Lesbians Upset An NBA Star,2624.0,2624.0,92.0,0.0350609756097561,0.0225663949672473
432,124,A Haunting Photo Of Martin Luther King Jr. Plus His Immortal Audio Clip,2800.0,2800.0,42.0,0.015,0.018599369857860478
433,124,The Most Powerful Memories Of Martin Luther King Jr.,2831.0,2831.0,26.0,0.009184033910279053,0.008520731037991782
434,124,The Most Powerful Photo Of Martin Luther King Jr. I've Ever Seen,2839.0,2839.0,60.0,0.021134202183867558,0.01388750526294482
435,124,Seeing This Incredible Photo Mixed With Hearing His Voice Makes Remembering MLK Jr. Easy ,2748.0,2748.0,31.0,0.011280931586608443,0.017865601351851237
447,128,NSFW: Stopping Breast Cancer With Pictures Of Boobs,2787.0,2787.0,64.0,0.022963760315751706,0.014841372365025075
448,128,Never Ever Ever Forget About Breasts,2662.0,2662.0,74.0,0.02779864763335838,0.01914699574251319
449,128,Topless Women With Something To Say,2605.0,2605.0,108.0,0.04145873320537428,0.0064869804625456206
450,128,You'll Never Look At Topless Women The Same Way Again,2769.0,2769.0,196.0,0.07078367641747924,0.03266223385355038
524,150,This Is One Of The Most Patriotic Videos About Being An American I've Ever Seen. Even If He's Not American.,2822.0,2822.0,54.0,0.01913536498936924,0.01675309847286937
525,150,This Is One Of The Most Patriotic Videos About Being An American I've Ever Seen. ,2638.0,2638.0,66.0,0.025018953752843062,0.02302731333471201
526,150,"Meet One Of The 11,000,000 People Who Might Make You Uncomfortable, But Really Shouldn't",2730.0,2730.0,69.0,0.025274725274725275,0.017769779755504554
527,150,"If This Is Illegal, Then You Are Illegal",2736.0,2736.0,59.0,0.021564327485380116,0.021664191131264412
616,178,"National News Organization Attacks 9 Year Old Girl, Then Attacks Itself For Doing So",2679.0,2679.0,88.0,0.032848077640910786,0.023251841959092533
617,178,How To Apologize After You Call A 9 Year Old Girl A Horrible Name In Front Of Everyone,2673.0,2673.0,112.0,0.041900486344930786,0.02231567777035145
618,178,"The Onion Attacks 9 Year Old Girl, Then Attacks Itself For Doing So",2846.0,2846.0,105.0,0.036893886156008436,0.02623541520772419
619,178,Take Note Hypocritical Politicians: This Is How To Apologize When You Are Totally In The Wrong,2689.0,2689.0,62.0,0.023056898475269618,0.013240824191063705
687,197,The One Where A Supreme Court Justice Acts Like An Internet Troll,3242.0,3242.0,54.0,0.016656384947563233,0.01
688,197,"When A Supreme Court Justice Sounds Like A Racist Internet Commenter, We've Got A Problem",3044.0,3044.0,88.0,0.02890932982917214,0.012190677414300681
689,197,An Internet Troll Rears His Ugly Head — As A Supreme Court Justice,3170.0,3170.0,68.0,0.02145110410094637,0.005209370043702711
690,197,One Of The Most Racist Things A Supreme Court Justice Has Ever Said,3003.0,3003.0,94.0,0.031302031302031304,0.020574990895416458
752,218,You May Be Shocked To Find Out How Much Health Care Executives Care About Your Health,3970.0,3970.0,28.0,0.007052896725440806,0.005188101977462999
753,218,A Simple Explanation For Why Healthcare Is A Trainwreck,3945.0,3945.0,23.0,0.0058301647655259825,0.015331645802838943
754,218,"That One Itty-Bitty, Teeny-Tiny, Pesky Little Thing That Healthcare Execs Always Forget About",3829.0,3829.0,38.0,0.009924262209454165,0.014432824338960929
862,249,Politically Correct Alternate Endings To Princess Movies Disney Doesn't Want You To See,3276.0,3276.0,69.0,0.021062271062271064,0.023477434608704023
863,249,LOL: Politically Correct Alternate Endings To Princess Movies Disney Doesn't Want You To See,3232.0,3232.0,60.0,0.018564356435643563,0.023941592794285888
864,249,The Disturbing True Story Of What Happens In Disney Movies AFTER 'Happily Ever After',3138.0,3138.0,52.0,0.0165710643722116,0.027350155076022627
865,249,Disney Movies Tend To End In Lies. Here's What Happens Next.,3441.0,3441.0,43.0,0.012496367335077013,0.01760708290598073
896,258,The Taliban Just Got Owned By A 15-Year-Old Girl ,3547.0,3547.0,111.0,0.03129405131096701,0.03466594032943513
897,258,The Taliban Tried To Silence This 15-Year-Old Girl By Shooting Her In The Head. It Didn't Work.,3495.0,3495.0,52.0,0.014878397711015737,0.0215049848773617
898,258,Meet The 15-Year-Old Girl Who Just Schooled The Taliban ,3505.0,3505.0,72.0,0.020542082738944364,0.02202411224835053
912,264,MAP: What The USA Could Look Like If 1 Party Didn't Think Building Infrastructure Made You A Commie,2665.0,2665.0,87.0,0.03264540337711069,0.006190944162757391
913,264,This Future Map Of The United States Is Way Cooler Than Any Current Map Of The United States,2631.0,2631.0,136.0,0.05169137210186241,0.002708247220270716
992,285,2 Members Of Congress Debate Whether Accepting Legalized Bribes Is Cool. Righteous Honesty Prevails.,2820.0,2820.0,26.0,0.009219858156028368,0.0121825065878247
993,285,A Congressperson Thinks Legalized Bribery Is A Good Idea. A Human Person Corrects Them.,2729.0,2729.0,52.0,0.01905459875412239,0.017517465014739973
994,285,A Congressperson Endorses Legalized Bribery Of Congress. Honest Shellacking Ensues.,2761.0,2761.0,38.0,0.013763129300977906,0.016966896366534832
995,285,Watch A Real Person Correct An Elected Official On How Democracy Should Actually Function,2833.0,2833.0,74.0,0.02612072008471585,0.01981813681475275
1046,305,"An Inspiring And Beautiful Look At Mushrooms. Yup, I Said Mushrooms.",3832.0,3832.0,25.0,0.006524008350730689,0.007682849981196456
1047,305,Talented Documentarian Makes Mushrooms Into The Most Fascinating Thing on The Planet For 2 Minutes,4026.0,4026.0,33.0,0.00819672131147541,0.012272421292306383
1048,305,Talented Documentarian Makes Mushrooms Seem Like The Most Fascinating Thing On The Planet,3889.0,3889.0,21.0,0.0053998457186937516,0.008795034048893013
1083,317,I Never Would Have Guessed Adults Could Have This Much Fun In A Ball Pit With All Their Clothes On,2633.0,2633.0,36.0,0.013672616786935056,0.009753238567489796
1084,317,You’ll Never Believe What These Adults Found In This Ball Pit,2608.0,2608.0,65.0,0.02492331288343558,0.011481733800678382
1085,317,Here’s The Video About Balls That All Your Friends Will Be Talking About Tomorrow,2717.0,2717.0,38.0,0.013986013986013986,0.01013106056907723
1086,317,INSPIRING! Two Strangers Take Out Their False Teeth In A Ball Pit,2653.0,2653.0,33.0,0.012438748586505842,0.01283207118830456
1132,334,Elizabeth Warren Shows The Senate Banking Committee How It's Done,2742.0,2742.0,37.0,0.01349380014587892,0.015738068742550685
1133,334,Elizabeth Warren Shows The Big Banks What A Working Senator Looks Like ,2777.0,2777.0,30.0,0.010803024846957148,0.014983792932737662
1134,334,Elizabeth Warren Shares Some Choice Thoughts On 'Too Big To Fail' ,2861.0,2861.0,36.0,0.01258301293254107,0.012880851490978222
1135,334,Elizabeth Warren Continues To Be The Senator We All Hoped She Would ,2761.0,2761.0,51.0,0.018471568272365086,0.019960247368190732
1152,340,How Do Villagers In Mexico Deal With Corrupt Officials And Drug Crime? With Vigilantes.,2663.0,2663.0,20.0,0.007510326699211416,0.012550002068317294
1153,340,The Mexican Version Of Batman,2659.0,2659.0,24.0,0.009025949605114705,0.014714291953720779
1154,340,Imagine If Batman Was Mexican And He Had A Whole Lot Of Robins,2742.0,2742.0,27.0,0.009846827133479213,0.016362155760304357
1155,340,Vigilantes In Mexico Seem To Be Improving The Quality Of Life For Citizens,2665.0,2665.0,19.0,0.007129455909943715,0.011494245352850109
1191,352,Why Would A Librarian Need To Know How To Sail? ,2855.0,2855.0,15.0,0.005253940455341506,0.0138455752920169
1192,352,"If Your Books Are Overdue At This Library, They Make You Walk The Plank",2870.0,2870.0,17.0,0.005923344947735192,0.015608737381553389
1193,352,I Bet A Lot More People Would Become Librarians If They Got To Do It Like This,2852.0,2852.0,22.0,0.007713884992987377,0.0040417743593117745
1194,352,This Island Library Is One Mermaid Short Of A Miracle ,2941.0,2941.0,20.0,0.006800408024481469,0.0077328338326974055
1243,367,This Dad’s Stamp Of Approval Might Be The Best Thing You See On The Internet All Day,3653.0,3653.0,81.0,0.02217355598138516,0.02770950900888073
1244,367,Here's A Big Gay Letter From A Proud Parent,3815.0,3815.0,82.0,0.021494102228047183,0.013592975966801755
1245,367,Proud Dad Doesn't Care Who His Son Dates As Long As He Picks Up Groceries,3892.0,3892.0,71.0,0.018242548818088386,0.020523170568609597
1246,367,This Is Exactly How You Respond When You Find Out Someone Is Gay,3753.0,3753.0,86.0,0.02291500133226752,0.015833121347140697
1283,378,What Do More Than 2/3rds Of The World’s Countries Agree On?,7387.0,7387.0,70.0,0.009476106673886557,0.008089286154592801
1284,378,The 1 Thing That Actually Deserves The Death Penalty,7616.0,7616.0,129.0,0.016938025210084032,0.018701130017282408
1285,378,This Beautiful Video Wants To End Something Horrible,7445.0,7445.0,64.0,0.008596373404969779,0.01468765202879221
1297,382,Stop Turning Everything I Do Into A Political Statement!,7458.0,7458.0,104.0,0.013944757307589166,0.011799027294028
1298,382,NEW RULE: Everything’s NOT Political,7290.0,7290.0,91.0,0.012482853223593965,0.014411108079411768
1308,386,Why Pediatricians Are The Redheaded Stepchildren Of Medicine,5477.0,5477.0,51.0,0.00931166697096951,0.02315391394383281
1314,389,Ryan Gosling And I Would Like To Know Why THIS Gets A Lower MPAA Rating Than THAT,2347.0,2347.0,62.0,0.026416702172986792,0.022063380796040533
1315,389,Ryan Gosling Would Like To Know Why THIS Gets A Lower MPAA Rating Than THAT,2263.0,2263.0,65.0,0.028722934158197082,0.02520275191651374
1316,389,"Why Is It Okay To Show Women Being Tortured On Screen, But Not Doing THIS?",2235.0,2235.0,126.0,0.056375838926174496,0.030589077754712417
1317,389,Ryan Gosling Explains Why The MPAA Is Sexist. Excuse Me While I Swoon.,2244.0,2244.0,89.0,0.039661319073083776,0.025134493057056
1318,389,Ryan Gosling Would Like To See More Women Doing THIS On Screen,2271.0,2271.0,84.0,0.036988110964332896,0.022959999835760064
1381,409,Stuff People Say To Mixed-Race People,5423.0,5423.0,112.0,0.02065277521666974,0.023125820254867653
1382,409,Things I've Overheard In The Melting Pot,5498.0,5498.0,29.0,0.0052746453255729355,0.014827698830121434
1383,409,Do You Think President Obama Ever Gets This Kind Of Stuff?,5784.0,5784.0,35.0,0.006051175656984786,0.013818949768454682
1384,410,How One American City Is Investing In Its Youth,5424.0,5424.0,19.0,0.0035029498525073746,0.0035052137917291684
1385,410,The Most Baller Way To Keep Kids Safe,5540.0,5540.0,38.0,0.0068592057761732855,0.014319910429848006
1386,410,How Sports Teach The Fundamentals … Of Life,5735.0,5735.0,22.0,0.0038360941586748037,0.006880969137069488
1387,410,"Even If You Don’t Like Or Play Sports, Here’s Why You Should Love Them",5415.0,5415.0,28.0,0.005170821791320407,0.008027145183124525
1388,411,MAP: How Much NRA Money Is In Your State?,5508.0,5508.0,33.0,0.005991285403050109,0.01
1389,411,MAP: Want To Know Where All That Sweet Gun Money Goes?,5452.0,5452.0,48.0,0.00880410858400587,0.01
1390,411,"Where There’s Guns, There’s Money To Convince People All Guns Are Great",5562.0,5562.0,38.0,0.0068320747932398415,0.01
1391,411,"This Map Won’t Tell You Where You Are, But It Will Tell You How Much NRA Money Is In Your State",5506.0,5506.0,67.0,0.012168543407192154,0.006391807971990611
1420,421,The Most Baller Way To Keep Kids Safe,2824.0,2824.0,12.0,0.00424929178470255,0.014319910429848006
1421,421,This Is A Great And Pretty Baller Way To Keep Kids Safe,2919.0,2919.0,21.0,0.007194244604316547,0.01277282860411652
1440,427,This Is Pretty Much One Of The Coolest Anti-Hate Things I've Ever Seen,2115.0,2115.0,33.0,0.015602836879432624,0.025649230554257017
1441,427, I Never Thought A 1-Minute Video Could Punch Me In The Heart. Yet Here We Are.,2147.0,2147.0,43.0,0.020027945971122497,0.01820366970412976
1467,436,Something REALLY Sexy Is Happening At This Store,2666.0,2666.0,37.0,0.01387846961740435,0.017661386530506418
1468,436,What Women Really Want In The Lingerie Department,2705.0,2705.0,58.0,0.02144177449168207,0.018959231215891673
1469,436,Whoa! This Is The Hottest Thing I've Ever Seen In A Lingerie Department.,2648.0,2648.0,71.0,0.026812688821752265,0.0243227866833683
1470,436,Why Women (And Men) Love This Picture So Much,2735.0,2735.0,114.0,0.041681901279707494,0.017947568065687702
1532,456,A Strategy That Might Actually Take A Bite Out Of Crime,2726.0,2726.0,17.0,0.0062362435803374906,0.008075047228243162
1533,456, A Strategy To Combat Crime That McGruff Wished He Thought Of,2739.0,2739.0,9.0,0.0032858707557502738,0.010524955628006325
1536,458,An Unbelievable Fact About Arizona Creates An Ingenious Water-Saving Technique,2785.0,2785.0,42.0,0.015080789946140035,0.026067845578966933
1537,458,Can Somebody Just Give This Guy A Million Bucks Already?,2789.0,2789.0,58.0,0.020795984223736106,0.01985164425528237
1538,458,The Bulletproof Plan To Solve The World's Water Crisis,2888.0,2888.0,26.0,0.009002770083102494,0.005615025464967999
1539,458,The Hugest Carbon Emitter And Energy Consumer In Arizona Could Disappear. In MOMENTS.,2694.0,2694.0,31.0,0.011507052709725315,0.021771446680320067
1563,466,The Olympic Marathon Runner Who Outran His Own Murder,2642.0,2642.0,36.0,0.013626040878122634,0.007402430936735993
1564,466,"The Olympic Runner Who Couldn't Be Stopped, Even When He Didn't Have A Country To Run For",2670.0,2670.0,22.0,0.008239700374531835,0.007016024510538736
1565,466,Meet The Man Who Outran Death To Make The Olympics,2818.0,2818.0,21.0,0.007452093683463449,0.016330409086594756
1566,466,Meet The Olympic Athlete Who Doesn't Have A Home Country To Compete For,2713.0,2713.0,22.0,0.008109104312569112,0.009580129146559313
1567,467,Where Is It Easier To Get An AK-47 Than It Is To Get A Banana?,2765.0,2765.0,48.0,0.01735985533453888,0.012362990509580186
1568,467,When Will We Start Treating Guns More Like Bananas?,2803.0,2803.0,52.0,0.01855155190866928,0.006752838900556316
1569,467,Wouldn’t YOU Want To Sign A Treaty That Saved $20 Billion And 30 Million People?,2827.0,2827.0,38.0,0.013441811107180757,0.00992129025393218
1570,467,One Simple Way To Instantly Reduce Violence Around The Globe,2801.0,2801.0,37.0,0.013209568011424491,0.016602173740229504
1592,474,This Girl Makes Me Want To Dump My Thanksgiving Dinner On Columbus' Head ,2709.0,2709.0,39.0,0.014396456256921373,0.020853736717085448
1593,474,This Girl's Simple Series Of Questions Will Break Your Heart Into A Million Pieces,2848.0,2848.0,68.0,0.023876404494382022,0.03272548289653854
1594,474,This 13-Year-Old Is Asking A Powerful Question That No One In America Can Answer ,2769.0,2769.0,70.0,0.025279884434814014,0.027181154823216577
1595,474,This Girl's Middle School Photography Project Will Steal Your Breath Away,2659.0,2659.0,91.0,0.03422339225272659,0.01735553740853539
1638,486,NERD ALERT: The Climate Action Superhero You Didn’t Know You Were Waiting For,2799.0,2799.0,3.0,0.0010718113612004287,0.006525096914007985
1639,486,"When Your Carbon Footprint Needs A Commercial, Your ‘Feet’ Are Too Damn Big",3024.0,3024.0,10.0,0.0033068783068783067,0.008166196723015863
1643,488,MUST WATCH: The Pollution-Free Car That’s Telling A Whole Industry To Go Kiss Its ‘Gas’,6095.0,6095.0,51.0,0.008367514356029532,0.013952437385315822
1714,510,‘The Golden Girls’ Take On Gay Marriage,2816.0,2816.0,67.0,0.023792613636363636,0.013328164452669558
1715,510,What A '90s Sitcom Knew About Gay Marriage That Some People Are Still Figuring Out,2905.0,2905.0,86.0,0.029604130808950087,0.026610598718306993
1716,510,Watch Sophia Change Blanche’s Mind About Gay Marriage In Less Than A Minute,2870.0,2870.0,111.0,0.03867595818815331,0.024312996816853314
1717,510,"Her Argument For Gay Marriage Isn’t New, But She Made It 20 Years Ago When She Was A Senior Citizen",2938.0,2938.0,103.0,0.03505786249149081,0.01778366167054688
1718,511,"It's Been A Long Week. Need A Hug? Yeah, You Need A Hug.",2899.0,2899.0,30.0,0.010348395998620214,0.009014408628065618
1719,511,These Troops Are About To Go To War. And This Lady Is There To Hug Them.,3005.0,3005.0,24.0,0.007986688851913478,0.015238197103053842
1720,511,"There Are Like, 150 Hugs In This Two-Minute Video",3065.0,3065.0,26.0,0.008482871125611746,0.018469535980057447
1721,511,"Meet The Little Old Lady Who's The Living Embodiment Of ""Support Our Troops""",2857.0,2857.0,25.0,0.008750437521876094,0.017111619812940692
1748,519,"You Don't Get To Blame Your Parents When You Say Something Horribly Racist, 79-Year-Old Congressman",2805.0,2805.0,54.0,0.019251336898395723,0.01616778467178665
1749,519,"STAY CLASSY: Congressman Says Something Horribly Racist, Then Blames It On His Parents",2897.0,2897.0,70.0,0.02416292716603383,0.0369554115961298
1750,519,"NEW RULE: You Aren't Allowed To Blame Your Daddy When You Say Something Horribly Racist, Congressman",2873.0,2873.0,47.0,0.016359206404455272,0.021422333920173876
1803,534,The State Of Political Discourse In America As Told By Game Of Thrones,2678.0,2678.0,17.0,0.006348020911127707,0.015290169554097803
1805,534,"Guns Don't Kill People, Horrifically Tedious Arguments That Never Lead To Listening Kill People",2664.0,2664.0,25.0,0.009384384384384385,0.010542709655722694
1806,534,"This Reminds Me Of Congress, Only Way Less Dumber",2539.0,2539.0,15.0,0.005907837731390311,0.0019325394344578513
1876,554,Spock Gives Teenage Girl Advice About Bullies; Entire Internet Has A Cry,2735.0,2735.0,117.0,0.04277879341864717,0.02533036927920689
1877,554,Spock's Advice To A Teenage Girl Will Make Your Heart Sing,2879.0,2879.0,75.0,0.02605071205279611,0.02560827823901323
1878,554,Star Trek Does 'It Gets Better.' It's Pretty Amazing.,2737.0,2737.0,60.0,0.021921812203142127,0.02095439388557571
1879,554,Every Bullied Kid Deserves A Response Like This,2698.0,2698.0,103.0,0.03817642698295033,0.027134139263835188
1897,559,The Most Honest Cable Company In The World Has A Message For You. A Really Jerky Message.,2601.0,2601.0,42.0,0.016147635524798153,0.019651818747821598
1898,559,There's A Special Place In Hell For The Most Honest Cable Company In The World,2713.0,2713.0,34.0,0.012532252119424991,0.014619267582857101
1899,559,The Most Honest Cable Company In The World Doesn't Think You'll Share This,2781.0,2781.0,31.0,0.011147069399496584,0.019543999547851132
2120,622,"45 Years Ago We Lost Martin Luther King To Blinding Hatred. That Night, This Helped Us See Again.",2704.0,2704.0,47.0,0.017381656804733726,0.022269310505114034
2121,622,45 Years Ago We Lost Martin Luther King Jr. To Bigotry. Only One City Remained Calm. Here's Why.,2829.0,2829.0,47.0,0.01661364439731354,0.020426330027264405
2122,622,"45 Years Ago We Lost Martin Luther King Jr. To Hatred. That Night, Another We Lost Stood Up To It.",2826.0,2826.0,47.0,0.016631280962491155,0.020719717640566068
2177,638,See The Video That Got This Terrific Tree Hugger Fired,2805.0,2805.0,41.0,0.01461675579322638,0.02075150199769555
2178,638,"The Lorax Doesn’t Exist, So Who Will Defend The Trees? I Nominate This Guy.",2784.0,2784.0,17.0,0.00610632183908046,0.010329458372290254
2179,639,Meet The Coolest Tree Hugger Ever,2776.0,2776.0,15.0,0.005403458213256484,0.00628649866129433
2180,639,Not Cool: Meet The Guy Who Cared About A 100 Year-Old Tree And Got Fired For It,2844.0,2844.0,33.0,0.011603375527426161,0.01272389028370823
2268,665,Seeing A Woman Say Things Like This About Other Women… You Bet I Get The Warm-N-Fuzzies,2804.0,2804.0,42.0,0.014978601997146932,0.0064448735526130355
2270,665,This Woman Works For The Website You Use To Procrastinate. Good Thing She's Not.  ,2763.0,2763.0,29.0,0.010495837857401375,0.01555350167254101
2271,665,SO WHAT If This Woman Leaves Work Every Day At 5:30? At Least She Didn't Ax-Murder Anyone.,2772.0,2772.0,36.0,0.012987012987012988,0.014571746200640183
2325,683,He Went To Jail At Age 5. Then He Went To Space. Now He's On Broadway?!?,2810.0,2810.0,27.0,0.009608540925266904,0.010271186042866129
2326,683,America Put This Famous Gay Space Dude In Jail When He Was 5 Years Old. Now He's On Broadway?,2975.0,2975.0,37.0,0.012436974789915966,0.015181366009915606
2327,683,Once Upon A Time There Was A 5 Year Old Who Went To Jail And Then Into Space. OH MY!,2837.0,2837.0,30.0,0.010574550581600282,0.016222660622836994
2328,683,"Just How Does One Go From Jail At Age 5, Then To Broadway By Way Of Outer Space?",2816.0,2816.0,28.0,0.009943181818181818,0.004636745004835624
2330,684,The New York Stock Exchange Is Dominated By Computers. That’s Not A Good Thing.,3764.0,3764.0,21.0,0.005579171094580234,0.0012670233911139996
